event_id,historical_symbol,first_trade_ts_utc,minute_ts_utc,relative_minute,equity_trade_count,share_volume,log_share_volume,dollar_volume,share_turnover,option_trade_count,option_contract_volume,log_option_volume,option_call_volume,option_put_volume,quoted_spread_pct,effective_spread_pct,realized_spread_5m_pct,price_impact_5m_pct,absolute_order_imbalance,order_flow_source,research_use_only
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T20:52:00.000Z,11,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T20:53:00.000Z,12,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T20:54:00.000Z,13,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T20:55:00.000Z,14,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T20:56:00.000Z,15,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T20:57:00.000Z,16,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T20:58:00.000Z,17,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T20:59:00.000Z,18,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:00:00.000Z,19,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:01:00.000Z,20,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:02:00.000Z,21,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:03:00.000Z,22,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:04:00.000Z,23,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:05:00.000Z,24,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:06:00.000Z,25,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:07:00.000Z,26,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:08:00.000Z,27,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:09:00.000Z,28,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:10:00.000Z,29,,,,,,,,,,,,,,,,,1
HEJFE-7C93D3838E60926C,CMTL,2014-12-10T20:41:00.000Z,2014-12-10T21:11:00.000Z,30,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:16:00.000Z,-30,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:17:00.000Z,-29,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:18:00.000Z,-28,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:19:00.000Z,-27,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:20:00.000Z,-26,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:21:00.000Z,-25,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:22:00.000Z,-24,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:23:00.000Z,-23,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:24:00.000Z,-22,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:25:00.000Z,-21,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:26:00.000Z,-20,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:27:00.000Z,-19,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:28:00.000Z,-18,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:29:00.000Z,-17,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:30:00.000Z,-16,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:31:00.000Z,-15,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:32:00.000Z,-14,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:33:00.000Z,-13,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:34:00.000Z,-12,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:35:00.000Z,-11,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:36:00.000Z,-10,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:37:00.000Z,-9,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:38:00.000Z,-8,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:39:00.000Z,-7,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:40:00.000Z,-6,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:41:00.000Z,-5,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:42:00.000Z,-4,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:43:00.000Z,-3,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:44:00.000Z,-2,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:45:00.000Z,-1,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:46:00.000Z,0,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:47:00.000Z,1,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:48:00.000Z,2,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:49:00.000Z,3,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:50:00.000Z,4,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:51:00.000Z,5,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:52:00.000Z,6,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:53:00.000Z,7,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:54:00.000Z,8,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:55:00.000Z,9,,,,,,,,,,,,,,,,,1
HEJFE-99F3FC8CE022DEA1,VAR,2012-01-25T17:46:00.000Z,2012-01-25T17:56:00.000Z,10,,,,,,,,,,,,,,,,,1
